id,task_id,user_id,status,prompt_id,workflow_params,started_at,finished_at,error_message,created_at,updated_at,img_url,action,images,original_images,sub_task_id
"115","329eb0ac1a9d4d36","ec1e92e0505d4580a3d8475da8e0e84e","2","e2487dc7-4f63-42a8-b3e7-05e31df2c987","{""top"": 0, ""left"": 300, ""model"": ""comfy"", ""right"": 300, ""action"": ""extend"", ""bottom"": 0, ""prompt"": ""general"", ""taskId"": ""329eb0ac1a9d4d36"", ""userId"": ""ec1e92e0505d4580a3d8475da8e0e84e"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/kcj66j/1765162476742.jpg"", ""filename"": ""1765162484842.jpg""}]}","2025-12-08 10:54:45","2025-12-08 10:55:42",null,"2025-12-08 10:54:44","2025-12-08 10:55:41",null,"extend","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/329eb0ac1a9d4d36/2025/12/08/36d6bba24a6f49189174cb87cb921ab9.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/kcj66j/1765162476742.jpg""]","3543bce6-468d-47"
"114","a4eaf4856b013a87","cf990285411744dc9145b0d0fb72f348","2","a4eaf4856b013a87","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 3000, ""action"": ""hires"", ""height"": 3000, ""taskId"": ""a4eaf4856b013a87"", ""userId"": ""cf990285411744dc9145b0d0fb72f348"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251208/xj1f3u/1765162347065.jpg"", ""filename"": ""1765162357496.jpg""}]}","2025-12-08 10:52:38","2025-12-08 10:52:42",null,"2025-12-08 10:52:37","2025-12-08 10:52:41",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251208/a4eaf4856b013a87/2025/12/08/60c6307eadd041acb5b56b5e704a2435.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/cf990285411744dc9145b0d0fb72f348/20251208/xj1f3u/1765162347065.jpg""]","2627fc68-14fe-44"
"113","2e6a3b3011d3cee4","ec1e92e0505d4580a3d8475da8e0e84e","2","2e6a3b3011d3cee4","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 1890, ""action"": ""hires"", ""height"": 2588, ""taskId"": ""2e6a3b3011d3cee4"", ""userId"": ""ec1e92e0505d4580a3d8475da8e0e84e"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/91jkt8/1765162331021.jpg"", ""filename"": ""1765162336601.jpg""}]}","2025-12-08 10:52:17","2025-12-08 10:52:22",null,"2025-12-08 10:52:16","2025-12-08 10:52:22",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/2e6a3b3011d3cee4/2025/12/08/0f2ce1fad493405584465950a005cc99.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/91jkt8/1765162331021.jpg""]","21589ebd-5fdd-4f"
"112","36126cec55bcb1d0","ec1e92e0505d4580a3d8475da8e0e84e","2","7f0a7584-f1b0-4d2a-bf76-fb482c80a4ee","{""top"": 296, ""left"": 300, ""model"": ""comfy"", ""right"": 300, ""action"": ""extend"", ""bottom"": 296, ""prompt"": ""general"", ""taskId"": ""36126cec55bcb1d0"", ""userId"": ""ec1e92e0505d4580a3d8475da8e0e84e"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/icddlu/1765162096253.jpg"", ""filename"": ""1765162118643.jpg""}]}","2025-12-08 10:48:39","2025-12-08 10:50:45",null,"2025-12-08 10:48:38","2025-12-08 10:50:45",null,"extend","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/36126cec55bcb1d0/2025/12/08/5e840e2274e84077a62b8455e9b0a37a.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/ec1e92e0505d4580a3d8475da8e0e84e/20251208/icddlu/1765162096253.jpg""]","842f14f3-acd4-43"
"111","6855e734e0d744cf","cf990285411744dc9145b0d0fb72f348","2","724a6902-52df-48ce-af4b-d1ae4db16460","{""top"": 128, ""left"": 97, ""model"": ""comfy"", ""right"": 97, ""action"": ""extend"", ""bottom"": 128, ""prompt"": ""general"", ""taskId"": ""6855e734e0d744cf"", ""userId"": ""cf990285411744dc9145b0d0fb72f348"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/e6fcdd10817544cfbcf661ea51842218.png"", ""filename"": ""1765160606239.png""}]}","2025-12-08 10:23:26","2025-12-08 10:28:14",null,"2025-12-08 10:23:26","2025-12-08 10:28:14",null,"extend","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251208/6855e734e0d744cf/2025/12/08/464bdb2039cc48c7af344bc86e0ea780.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/cf990285411744dc9145b0d0fb72f348/20251202/0ab30683573f62ac/2025/12/02/e6fcdd10817544cfbcf661ea51842218.png""]","17f64881-4d31-45"
"110","75753cc9a622830a","89e048bf18554a128388c07b324d8888","2","311a1959-55ef-4233-afd0-1f106cb31654","{""count"": 2, ""model"": ""comfy"", ""action"": ""fission"", ""prompt"": """", ""taskId"": ""75753cc9a622830a"", ""userId"": ""89e048bf18554a128388c07b324d8888"", ""toolType"": ""fission"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/89e048bf18554a128388c07b324d8888/20251203/34fe028a52696dc5/2025/12/03/74a3a63799784b05820010eccd319b5c.png"", ""filename"": ""74a3a63799784b05820010eccd319b5c.png""}], ""creative_strength"": 0.8, ""reference_strength"": 0.83}","2025-12-03 15:46:54","2025-12-03 15:51:32",null,"2025-12-03 15:46:54","2025-12-03 15:51:32",null,"fission","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/89e048bf18554a128388c07b324d8888/20251203/75753cc9a622830a/2025/12/03/ad85c008302640b99209dd7801ab671c.png"", ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/89e048bf18554a128388c07b324d8888/20251203/75753cc9a622830a/2025/12/03/c860f5b850bc4961a46773c97206c605.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/89e048bf18554a128388c07b324d8888/20251203/34fe028a52696dc5/2025/12/03/74a3a63799784b05820010eccd319b5c.png""]","5f0382bc-a617-47"
"109","34fe028a52696dc5","89e048bf18554a128388c07b324d8888","2","24aad521-ae39-4c81-885d-617334135723","{""model"": ""comfy"", ""width"": 1156, ""action"": ""pattern-extract"", ""height"": 1442, ""prompt"": """", ""taskId"": ""34fe028a52696dc5"", ""userId"": ""89e048bf18554a128388c07b324d8888"", ""category"": ""general"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/89e048bf18554a128388c07b324d8888/20251203/tz55l5/1764747256627.webp"", ""filename"": ""1764747261852.webp""}], ""imageSize"": ""original""}","2025-12-03 15:34:23","2025-12-03 15:39:55",null,"2025-12-03 15:34:23","2025-12-03 15:39:54",null,"pattern-extract","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/89e048bf18554a128388c07b324d8888/20251203/34fe028a52696dc5/2025/12/03/74a3a63799784b05820010eccd319b5c.png""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/89e048bf18554a128388c07b324d8888/20251203/tz55l5/1764747256627.webp""]","51c650f9-ffd8-44"
"108","da7158879fc8a62a","9e207e833f4f4a41bf0bde089c8782ff","2","da7158879fc8a62a","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 3072, ""action"": ""hires"", ""height"": 5504, ""taskId"": ""da7158879fc8a62a"", ""userId"": ""9e207e833f4f4a41bf0bde089c8782ff"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/io4y2o/1764734831658.jpeg"", ""filename"": ""1764734856580.jpeg""}]}","2025-12-03 12:07:38","2025-12-03 12:08:14",null,"2025-12-03 12:07:37","2025-12-03 12:08:13",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/da7158879fc8a62a/2025/12/03/3ae16f08dde64508b701a535699ad034.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/io4y2o/1764734831658.jpeg""]","63e8590e-a785-42"
"107","da7158879fc8a62a","9e207e833f4f4a41bf0bde089c8782ff","2","da7158879fc8a62a","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 3072, ""action"": ""hires"", ""height"": 5504, ""taskId"": ""da7158879fc8a62a"", ""userId"": ""9e207e833f4f4a41bf0bde089c8782ff"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/dguhak/1764734831436.jpeg"", ""filename"": ""1764734856580.jpeg""}]}","2025-12-03 12:07:37","2025-12-03 12:07:58",null,"2025-12-03 12:07:37","2025-12-03 12:07:58",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/da7158879fc8a62a/2025/12/03/8e69113947c549fe84c0c21efefaf31e.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/dguhak/1764734831436.jpeg""]","794ad7c2-5677-4e"
"106","da7158879fc8a62a","9e207e833f4f4a41bf0bde089c8782ff","2","da7158879fc8a62a","{""model"": ""baidu"", ""scale"": ""2"", ""width"": 3072, ""action"": ""hires"", ""height"": 5504, ""taskId"": ""da7158879fc8a62a"", ""userId"": ""9e207e833f4f4a41bf0bde089c8782ff"", ""quality"": ""fast"", ""imageList"": [{""ossUrl"": ""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/6lawc9/1764734831216.jpeg"", ""filename"": ""1764734856580.jpeg""}]}","2025-12-03 12:07:37","2025-12-03 12:09:28",null,"2025-12-03 12:07:37","2025-12-03 12:09:27",null,"hires","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/da7158879fc8a62a/2025/12/03/cf552075466d4b78b50a8ee9d2001fcd.jpg""]","[""https://podi.oss-cn-hangzhou.aliyuncs.com/design-outputs/9e207e833f4f4a41bf0bde089c8782ff/20251203/6lawc9/1764734831216.jpeg""]","d67baa28-aaed-45"
